season,name,pid,team,g,min,height,weight,dunks,poss,stl,blk,orb,drb
2020,obi-toppin,4278355,Dayton,31,981,80,220,6.17,1670,1.8,4.12,5.56,23.84
2020,devin-vassell,4395630,Florida State,29,846,77,180,1.62,1480,2.77,4.22,5.9,17.38
2020,aaron-nesmith,4396909,Vanderbilt,14,500,77,213,0.68,885,2.26,2.63,2.88,14.97
2020,tyrese-haliburton,4396993,Iowa State,22,807,76,175,0.55,1454,3.71,2.02,4.85,14.57
2020,saddiq-bey,4397136,Villanova,31,1051,79,216,1,1798,1.33,1.14,4.91,12.79
2020,tyrese-maxey,4431678,Kentucky,31,1068,74,200,0.38,1835,1.47,1.25,1.57,13.29
2020,onyeka-okongwu,4431680,USC,26,795,80,245,2.99,1404,2.21,10.05,13.32,19.56
2020,patrick-williams,4431687,Florida State,28,633,79,225,2.16,1109,2.52,5.58,7.68,14.99
2020,cole-anthony,4432809,North Carolina,22,768,74,190,0.29,1366,2.12,0.87,1.49,17.35
2020,anthony-edwards,4594268,Georgia,31,1026,75,225,1.4,1854,2.27,1.57,2.63,15.69
2019,deandre-hunter,4065732,Virginia,31,985,79,222,0.99,1515,1.19,2.23,5.43,14.65
2019,chuma-okeke,4278052,Auburn,30,877,78,233,1.38,1518,3.88,6.32,12.15,18.09
2019,ja-morant,4279888,Murray State,29,1077,74,170,1.39,1940,2.53,2.27,4.54,13.36
2019,rj-barrett,4395625,Duke,34,1188,78,208,1.68,2208,1.36,1.3,4.93,18.73
2019,zion-williamson,4395628,Duke,29,843,78,272,4.06,1576,4.06,5.9,13.96,20.39
2018,mikal-bridges,3147657,Villanova,33,1083,79,200,1.62,1910,2.77,3.58,6,15.66
2018,marvin-bagley-iii,4277848,Duke,29,968,82,234,4.61,1756,1.48,2.94,14.93,24.61
2018,deandre-ayton,4278129,Arizona,34,1134,83,261,4.19,1959,0.97,6.15,14.58,30.26

